time,battery
2018-10-23 11:45:59,54.768
2018-10-23 11:46:04,56.92
2018-10-23 11:46:09,57.996
2018-10-23 11:46:14,57.996
2018-10-23 11:46:19,58.534
2018-10-23 11:46:24,59.072
2018-10-23 11:46:29,59.072
2018-10-23 11:46:34,60.148
2018-10-23 11:46:39,60.148
2018-10-23 11:46:44,60.148
2018-10-23 11:46:49,60.686
2018-10-23 11:46:54,60.686
2018-10-23 11:46:59,60.148
2018-10-23 11:47:04,61.224
2018-10-23 11:47:09,60.686
2018-10-23 11:47:14,61.224
2018-10-23 11:47:19,60.686
2018-10-23 11:47:24,60.686
2018-10-23 11:47:29,60.148
2018-10-23 11:47:34,61.224
2018-10-23 11:47:39,60.686
2018-10-23 11:47:44,60.686
2018-10-23 11:47:49,61.224
2018-10-23 11:47:54,61.224
2018-10-23 11:47:59,61.762
2018-10-23 11:48:04,61.224
2018-10-23 11:48:09,61.224
2018-10-23 11:48:14,60.686
2018-10-23 11:48:19,61.224
2018-10-23 11:48:24,60.686
2018-10-23 11:48:29,61.224
2018-10-23 11:48:34,61.224
2018-10-23 11:48:39,61.224
2018-10-23 11:48:44,61.224
2018-10-23 11:48:49,61.224
2018-10-23 11:48:54,62.3
2018-10-23 11:48:59,61.762
2018-10-23 11:49:04,62.3
2018-10-23 11:49:09,61.224
2018-10-23 11:49:14,62.3
2018-10-23 11:49:19,62.3
2018-10-23 11:49:24,62.3
2018-10-23 11:49:29,61.762
2018-10-23 11:49:34,61.762
2018-10-23 11:49:39,61.224
2018-10-23 11:49:44,62.3
2018-10-23 11:49:49,61.224
2018-10-23 11:49:54,62.3
2018-10-23 11:49:59,61.762
2018-10-23 11:50:04,61.762
2018-10-23 11:50:09,62.3
2018-10-23 11:50:14,62.3
2018-10-23 11:50:19,62.3
2018-10-23 11:50:24,62.3
2018-10-23 11:55:14,67.142
2018-10-23 11:55:19,67.68
2018-10-23 11:55:24,66.066
2018-10-23 11:55:29,64.99
2018-10-23 11:55:34,64.452
2018-10-23 11:55:39,63.376
2018-10-23 11:55:44,64.452
2018-10-23 11:55:49,63.376
2018-10-23 11:55:54,63.376
2018-10-23 11:55:59,63.376
2018-10-23 11:56:04,63.376
2018-10-23 11:56:09,63.376
2018-10-23 11:56:14,63.376
2018-10-23 11:56:19,63.376
2018-10-23 11:56:24,63.376
2018-10-23 11:56:29,62.838
2018-10-23 11:56:34,63.376
2018-10-23 11:56:39,63.376
2018-10-23 11:56:44,63.376
2018-10-23 11:56:49,63.376
2018-10-23 11:56:54,63.376
2018-10-23 11:56:59,63.376
2018-10-23 11:57:04,63.376
2018-10-23 11:57:09,63.914
2018-10-23 11:57:14,64.452
2018-10-23 11:57:19,63.914
2018-10-23 11:57:24,63.914
2018-10-23 11:57:29,63.376
2018-10-23 11:57:34,63.376
2018-10-23 11:57:39,63.376
2018-10-23 11:57:44,63.376
2018-10-23 11:57:49,62.838
2018-10-23 11:57:54,63.376
2018-10-23 11:57:59,63.376
2018-10-23 11:58:04,63.376
2018-10-23 11:58:09,63.376
2018-10-23 11:58:14,62.3
2018-10-23 11:58:19,61.762
2018-10-23 11:58:24,62.3
2018-10-23 11:58:29,62.3
2018-10-23 11:58:34,62.3
2018-10-23 11:58:39,62.838
2018-10-23 11:58:44,62.3
2018-10-23 11:58:49,62.838
2018-10-23 11:58:54,62.3
2018-10-23 11:58:59,62.3
2018-10-23 11:59:04,62.3
2018-10-23 11:59:09,62.838
2018-10-23 11:59:14,62.3
2018-10-23 11:59:19,62.3
2018-10-23 11:59:24,62.838
2018-10-23 11:59:29,62.3
2018-10-23 11:59:34,62.3
2018-10-23 11:59:39,62.3
2018-10-23 11:59:44,62.3
2018-10-23 11:59:49,62.3
2018-10-23 11:59:54,62.3
2018-10-23 11:59:59,62.3
2018-10-23 12:00:04,62.3
2018-10-23 12:00:09,62.3
2018-10-23 12:00:14,62.3
2018-10-23 12:00:19,62.3
2018-10-23 12:00:24,62.3
2018-10-23 12:00:29,62.838
2018-10-23 12:00:34,61.762
2018-10-23 12:00:39,62.3
2018-10-23 12:00:44,62.3
2018-10-23 12:00:49,62.3
2018-10-23 12:00:54,62.3
2018-10-23 12:00:59,62.3
2018-10-23 12:01:04,62.3
2018-10-23 12:01:09,62.3
2018-10-23 12:01:14,62.3
2018-10-23 12:01:19,62.3
2018-10-23 12:01:24,62.3
2018-10-23 12:01:29,62.3
2018-10-23 12:01:34,62.3
2018-10-23 12:01:39,62.838
2018-10-23 12:01:44,62.3
2018-10-23 12:01:49,62.3
2018-10-23 12:01:54,62.3
2018-10-23 12:01:59,62.838
2018-10-23 12:02:04,62.3
2018-10-23 12:02:09,62.838
2018-10-23 12:02:14,62.3
2018-10-23 12:02:19,62.3
2018-10-23 12:02:24,63.376
2018-10-23 12:02:29,62.838
2018-10-23 12:02:34,62.838
2018-10-23 12:02:39,62.838
2018-10-23 12:02:44,63.376
2018-10-23 12:02:49,62.838
2018-10-23 12:02:54,62.838
2018-10-23 12:02:59,62.838
2018-10-23 12:03:04,62.838
2018-10-23 12:03:09,62.838
2018-10-23 12:03:14,62.3
2018-10-23 12:03:19,62.3
2018-10-23 12:03:24,62.3
2018-10-23 12:03:29,63.376
2018-10-23 12:03:34,63.376
2018-10-23 12:03:39,62.838
2018-10-23 12:03:44,63.376
2018-10-23 12:03:49,63.376
2018-10-23 12:03:54,62.838
2018-10-23 12:03:59,62.3
2018-10-23 12:04:04,63.376
2018-10-23 12:04:09,62.838
2018-10-23 12:04:14,62.838
2018-10-23 12:04:19,63.376
2018-10-23 12:04:24,63.376
2018-10-23 12:04:29,62.3
2018-10-23 12:04:34,62.3
2018-10-23 12:04:39,62.838
2018-10-23 12:04:44,62.838
2018-10-23 12:04:49,63.376
2018-10-23 12:04:54,62.838
2018-10-23 12:04:59,62.838
2018-10-23 12:05:04,62.838
2018-10-23 12:05:09,62.3
2018-10-23 12:05:14,62.3
2018-10-23 12:05:19,62.838
2018-10-23 12:05:24,62.3
2018-10-23 12:05:29,62.3
2018-10-23 12:05:34,62.838
2018-10-23 12:05:39,62.838
2018-10-23 12:05:44,62.3
2018-10-23 12:05:49,62.3
2018-10-23 12:05:54,62.3
2018-10-23 12:05:59,62.3
2018-10-23 12:06:04,62.3
2018-10-23 12:06:09,62.3
2018-10-23 12:06:14,62.838
2018-10-23 12:06:19,62.3
2018-10-23 12:06:24,62.838
2018-10-23 12:06:29,62.838
2018-10-23 12:06:34,62.838
2018-10-23 12:06:39,62.3
2018-10-23 12:06:44,62.3
2018-10-23 12:06:49,63.376
2018-10-23 12:06:54,63.376
2018-10-23 12:06:59,63.376
2018-10-23 12:07:04,62.838
2018-10-23 12:07:09,62.3
2018-10-23 12:07:14,62.838
2018-10-23 12:07:19,62.838
2018-10-23 12:07:24,62.838
2018-10-23 12:07:29,62.838
2018-10-23 12:07:34,62.838
2018-10-23 12:07:39,62.838
2018-10-23 12:07:44,62.838
2018-10-23 12:07:49,62.3
2018-10-23 12:07:54,62.3
2018-10-23 12:07:59,62.838
2018-10-23 12:08:04,62.838
2018-10-23 12:08:09,62.838
2018-10-23 12:08:14,62.838
2018-10-23 12:08:19,62.838
2018-10-23 12:08:24,62.3
2018-10-23 12:08:29,62.3
2018-10-23 12:08:34,62.3
2018-10-23 12:08:39,62.3
2018-10-23 12:08:44,62.3
2018-10-23 12:08:49,62.3
2018-10-23 12:08:54,62.3
2018-10-23 12:08:59,62.3
2018-10-23 12:09:04,62.3
2018-10-23 12:09:09,62.3
2018-10-23 12:09:14,62.3
2018-10-23 12:09:19,62.3
2018-10-23 12:09:24,62.838
2018-10-23 12:09:29,62.3
2018-10-23 12:09:34,62.3
2018-10-23 12:09:39,62.3
2018-10-23 12:09:44,62.3
2018-10-23 12:09:49,62.3
2018-10-23 12:09:54,61.762
2018-10-23 12:09:59,61.762
2018-10-23 12:10:04,61.762
2018-10-23 12:10:09,61.762
2018-10-23 12:10:14,62.3
2018-10-23 12:10:19,62.838
2018-10-23 12:12:05,54.23
2018-10-23 12:12:10,55.306
2018-10-23 12:12:15,56.382
2018-10-23 12:12:20,56.92
2018-10-23 12:12:25,56.92
2018-10-23 12:12:30,57.458
2018-10-23 12:12:35,57.996
2018-10-23 12:12:40,58.534
2018-10-23 12:12:45,57.996
2018-10-23 12:12:50,59.072
2018-10-23 12:12:55,59.072
2018-10-23 12:13:00,59.072
2018-10-23 12:13:05,59.072
2018-10-23 12:13:10,60.148
2018-10-23 12:13:15,59.072
2018-10-23 12:13:20,60.148
2018-10-23 12:13:25,59.072
2018-10-23 12:13:30,60.148
2018-10-23 12:13:35,60.148
2018-10-23 12:13:40,59.61
2018-10-23 12:13:45,60.148
2018-10-23 12:13:50,60.148
2018-10-23 12:13:55,60.148
2018-10-23 12:14:00,60.148
2018-10-23 12:14:05,60.148
2018-10-23 12:14:10,60.148
2018-10-23 12:14:15,60.686
2018-10-23 12:14:20,60.686
2018-10-23 12:14:25,60.686
2018-10-23 12:14:30,60.148
2018-10-23 12:14:35,60.148
2018-10-23 12:14:40,60.686
2018-10-23 12:14:45,60.686
2018-10-23 12:14:50,60.686
2018-10-23 12:14:55,60.148
2018-10-23 12:15:00,60.686
2018-10-23 12:15:05,60.148
2018-10-23 12:15:10,60.686
2018-10-23 12:15:15,60.686
2018-10-23 12:15:20,60.686
2018-10-23 12:15:25,60.686
2018-10-23 12:15:30,60.148
2018-10-23 12:15:35,60.686
2018-10-23 12:15:40,60.686
2018-10-23 12:15:45,60.686
2018-10-23 12:15:50,60.148
2018-10-23 12:15:55,60.148
2018-10-23 12:16:00,60.686
2018-10-23 12:16:05,60.686
2018-10-23 12:16:10,60.686
2018-10-23 12:16:15,60.148
2018-10-23 12:16:20,60.686
2018-10-23 12:16:25,60.686
2018-10-23 12:16:30,61.224
2018-10-23 12:16:35,60.686
2018-10-23 12:16:40,61.224
2018-10-23 12:16:45,60.686
2018-10-23 12:16:50,60.686
2018-10-23 12:16:55,61.224
2018-10-23 12:17:00,60.686
2018-10-23 12:17:05,60.686
2018-10-23 12:17:10,60.686
2018-10-23 12:17:15,60.686
2018-10-23 12:17:20,60.148
2018-10-23 12:17:25,61.224
2018-10-23 12:17:30,61.224
2018-10-23 12:17:35,61.762
2018-10-23 12:17:40,61.762
2018-10-23 12:17:45,61.762
2018-10-23 12:17:50,61.762
2018-10-23 12:17:55,62.3
2018-10-23 12:18:00,61.224
2018-10-23 12:18:05,61.762
2018-10-23 12:18:10,62.3
2018-10-23 12:18:15,61.762
2018-10-23 12:18:20,62.3
2018-10-23 12:18:25,61.762
2018-10-23 12:18:30,61.762
2018-10-23 12:18:35,62.3
2018-10-23 12:18:40,62.3
2018-10-23 12:18:45,62.3
2018-10-23 12:18:50,62.3
2018-10-23 12:18:55,62.3
2018-10-23 12:19:00,62.3
2018-10-23 12:19:05,62.3
2018-10-23 12:19:10,62.838
2018-10-23 12:19:15,62.3
2018-10-23 12:19:20,62.3
2018-10-23 12:19:25,62.3
2018-10-23 12:19:30,63.376
2018-10-23 12:19:35,62.3
2018-10-23 12:19:40,62.838
2018-10-23 12:19:45,62.838
2018-10-23 12:19:50,62.3
2018-10-23 12:19:55,62.838
2018-10-23 12:20:00,62.838
2018-10-23 12:20:05,62.838
2018-10-23 12:20:10,62.3
2018-10-23 12:20:15,62.3
2018-10-23 12:20:20,63.376
2018-10-23 12:20:25,62.838
2018-10-23 12:20:30,62.3
2018-10-23 12:20:35,62.838
2018-10-23 12:20:40,62.838
2018-10-23 12:20:45,62.838
2018-10-23 12:20:50,63.376
2018-10-23 12:20:55,63.376
2018-10-23 12:21:00,63.376
2018-10-23 12:21:05,63.376
2018-10-23 12:21:10,62.3
2018-10-23 12:21:15,62.838
2018-10-23 12:21:20,63.376
2018-10-23 12:21:25,62.838
2018-10-23 12:21:30,62.838
2018-10-23 12:21:35,62.838
2018-10-23 12:21:40,62.3
2018-10-23 12:21:45,62.838
2018-10-23 12:21:50,62.838
2018-10-23 12:21:55,63.376
2018-10-23 12:22:00,62.838
2018-10-23 12:22:05,63.376
2018-10-23 12:22:10,62.3
2018-10-23 12:22:15,62.838
2018-10-23 12:22:20,62.838
2018-10-23 12:22:25,62.838
2018-10-23 12:22:30,63.376
2018-10-23 12:22:35,63.376
2018-10-23 12:22:40,62.838
2018-10-23 12:22:45,63.376
2018-10-23 12:22:50,63.376
2018-10-23 12:22:55,63.376
2018-10-23 12:23:00,62.838
2018-10-23 12:23:05,63.376
2018-10-23 12:23:10,62.838
2018-10-23 12:23:15,63.376
2018-10-23 12:23:20,62.838
2018-10-23 12:23:25,62.3
2018-10-23 12:23:30,63.376
2018-10-23 12:23:35,62.3
2018-10-23 12:23:40,62.838
2018-10-23 12:23:45,63.376
2018-10-23 12:23:50,62.838
2018-10-23 12:23:55,62.838
2018-10-23 12:24:00,63.376
2018-10-23 12:24:05,62.3
2018-10-23 12:24:10,62.838
2018-10-23 12:24:15,62.838
2018-10-23 12:24:20,62.3
2018-10-23 12:24:25,62.3
2018-10-23 12:24:30,62.838
2018-10-23 12:24:35,62.3
2018-10-23 12:24:40,62.3
2018-10-23 12:24:45,62.3
2018-10-23 12:24:50,61.762
2018-10-23 12:24:55,61.224
2018-10-23 12:25:00,61.224
2018-10-23 12:25:05,60.686
2018-10-23 12:25:10,60.686
2018-10-23 12:25:15,61.224
2018-10-23 12:25:20,60.686
2018-10-23 12:25:25,60.686
2018-10-23 12:25:30,60.686
2018-10-23 12:25:35,60.148
2018-10-23 12:25:40,60.148
2018-10-23 12:25:45,60.686
2018-10-23 12:25:50,60.148
2018-10-23 12:25:55,60.148
2018-10-23 12:26:00,60.148
2018-10-23 12:26:05,60.148
2018-10-23 12:26:10,60.148
2018-10-23 12:26:15,60.148
2018-10-23 12:26:20,60.148
2018-10-23 12:26:25,60.686
2018-10-23 12:26:30,60.148
2018-10-23 12:26:35,60.686
2018-10-23 12:26:40,60.148
2018-10-23 12:26:45,60.148
2018-10-23 12:26:50,60.148
2018-10-23 12:26:55,60.148
2018-10-23 12:27:00,60.686
2018-10-23 12:27:05,60.148
2018-10-23 12:27:10,60.148
2018-10-23 12:27:15,60.148
2018-10-23 12:27:20,60.148
2018-10-23 12:27:25,60.148
2018-10-23 12:27:30,60.148
2018-10-23 12:27:35,60.148
2018-10-23 12:27:40,60.148
2018-10-23 12:27:45,60.148
2018-10-23 12:27:50,60.148
2018-10-23 12:27:55,59.072
2018-10-23 12:28:00,59.61
2018-10-23 12:28:05,60.148
2018-10-23 12:28:10,59.61
2018-10-23 12:28:15,59.072
2018-10-23 12:28:20,59.072
2018-10-23 12:28:25,59.61
2018-10-23 12:28:30,59.072
2018-10-23 12:28:35,58.534
2018-10-23 12:28:40,58.534
2018-10-23 12:28:45,57.996
2018-10-23 12:28:50,58.534
2018-10-23 12:28:55,57.996
2018-10-23 12:29:00,57.996
2018-10-23 12:29:05,57.996
2018-10-23 12:29:10,57.996
2018-10-23 12:29:15,58.534
2018-10-23 12:29:20,57.996
2018-10-23 12:29:25,57.996
2018-10-23 12:29:30,57.996
2018-10-23 12:29:35,58.534
2018-10-23 12:29:40,57.996
2018-10-23 12:29:45,57.996
2018-10-23 12:29:50,57.458
2018-10-23 12:29:55,57.458
2018-10-23 12:30:00,57.996
2018-10-23 12:30:05,57.458
2018-10-23 12:30:10,57.458
2018-10-23 12:30:15,56.92
2018-10-23 12:30:20,56.92
2018-10-23 12:30:25,57.458
2018-10-23 12:30:30,57.996
2018-10-23 12:30:35,57.458
2018-10-23 12:30:40,56.92
2018-10-23 12:30:45,57.996
2018-10-23 12:30:50,57.458
2018-10-23 12:30:55,57.458
2018-10-23 12:31:00,57.996
2018-10-23 12:31:05,57.996
2018-10-23 12:31:10,57.996
2018-10-23 12:31:15,57.996
2018-10-23 12:31:20,57.996
2018-10-23 12:31:25,57.996
2018-10-23 12:31:30,57.996
2018-10-23 12:31:35,57.996
2018-10-23 12:31:40,57.996
2018-10-23 12:31:45,57.996
2018-10-23 12:31:50,58.534
2018-10-23 12:31:55,58.534
2018-10-23 12:32:00,57.996
2018-10-23 12:32:05,59.072
2018-10-23 12:32:10,58.534
2018-10-23 12:32:15,58.534
2018-10-23 12:32:20,58.534
2018-10-23 12:32:25,59.072
2018-10-23 12:32:30,58.534
2018-10-23 12:32:35,57.996
2018-10-23 12:32:40,57.996
2018-10-23 12:32:45,57.996
2018-10-23 12:32:50,57.996
2018-10-23 12:32:55,57.996
2018-10-23 12:33:00,57.996
2018-10-23 12:33:05,57.996
2018-10-23 12:33:10,57.996
2018-10-23 12:33:15,57.996
2018-10-23 12:33:20,57.996
2018-10-23 12:33:25,57.996
2018-10-23 12:33:30,57.458
2018-10-23 12:33:35,57.458
2018-10-23 12:33:40,57.996
2018-10-23 12:33:45,57.996
2018-10-23 12:33:50,57.996
2018-10-23 12:33:55,57.996
2018-10-23 12:34:00,57.996
2018-10-23 12:34:05,57.996
2018-10-23 12:34:10,57.996
2018-10-23 12:34:15,58.534
2018-10-23 12:34:20,57.996
2018-10-23 12:34:25,58.534
2018-10-23 12:34:30,58.534
2018-10-23 12:34:35,57.996
2018-10-23 12:34:40,57.996
2018-10-23 12:34:45,58.534
2018-10-23 12:34:50,58.534
2018-10-23 12:34:55,58.534
2018-10-23 12:35:00,57.996
2018-10-23 12:35:05,58.534
2018-10-23 12:35:10,57.996
2018-10-23 12:35:15,57.996
2018-10-23 12:35:20,57.996
2018-10-23 12:35:25,57.996
2018-10-23 12:35:30,57.996
2018-10-23 12:35:35,57.996
2018-10-23 12:35:40,59.072
2018-10-23 12:35:45,58.534
2018-10-23 12:35:50,58.534
2018-10-23 12:35:55,58.534
2018-10-23 12:36:00,59.072
2018-10-23 12:36:05,59.072
2018-10-23 12:36:10,58.534
2018-10-23 12:36:15,59.072
2018-10-23 12:36:20,59.072
2018-10-23 12:36:25,59.61
2018-10-23 12:36:30,59.072
2018-10-23 12:36:35,59.072
2018-10-23 12:36:40,60.148
2018-10-23 12:36:45,60.148
2018-10-23 12:36:50,59.072
2018-10-23 12:36:55,59.072
2018-10-23 12:37:00,59.61
2018-10-23 12:37:05,59.61
2018-10-23 12:37:10,59.61
2018-10-23 12:37:15,59.072
2018-10-23 12:37:20,59.61
2018-10-23 12:37:25,59.61
2018-10-23 12:37:30,59.072
